person_hash,role,age_band,gender,masked_zone
"PER-043A5EAA853E","victim","65+","female","Residential market / JYN-4"
"PER-D0CD82F0BD41","accused","51-65","male","Tech corridor / WFD-4"
"PER-FDD69D6A3BDF","victim","18-25","male","Airport approach / HBL-2"
"PER-652378E6EB7B","victim","51-65","female","Transit hub / CEN-2"
"PER-3D592AF71DC7","accused","18-25","male","Tech corridor / WFD-4"
"PER-536C2D7B3750","accused","36-50","male","Tech corridor / WFD-4"
"PER-EE9100AB7C52","accused","65+","male","Tech corridor / WFD-4"
"PER-9F3867626C3E","victim","18-25","female","Commercial mixed use / KRM-6"
"PER-C1B57BACABA6","accused","51-65","female","Rail and arterial road / KRP-2"
"PER-9602C931E1DE","victim","26-35","female","Residential market / JYN-4"
"PER-0010B639810D","victim","65+","female","Metro corridor / BSK-3"
"PER-697C635CAEFE","accused","26-35","male","Outer growth corridor / YLK-1"
"PER-F9455BB89049","victim","65+","male","Airport approach / HBL-2"
"PER-9DC9821DBFEB","accused","26-35","male","Transit hub / CEN-2"
"PER-41CA77E86CA8","victim","51-65","male","Metro corridor / BSK-3"
"PER-0C693D20D402","victim","36-50","female","Tech corridor / WFD-4"
"PER-4641113B2A8E","victim","65+","male","Industrial IT belt / ELC-5"
"PER-22F5691E0504","victim","18-25","female","Tech corridor / WFD-4"
"PER-48E0AF9187C4","victim","65+","undisclosed","Tech corridor / WFD-4"
"PER-0F7F27F85BDB","victim","26-35","male","Metro corridor / BSK-3"
"PER-392FECD43AE6","accused","26-35","male","Night economy / IND-3"
"PER-B530CA4613A0","victim","26-35","male","Commercial mixed use / KRM-6"
"PER-3F3E482C3CFC","accused","26-35","undisclosed","Tech corridor / WFD-4"
"PER-119D280E6C22","victim","26-35","male","Commercial mixed use / KRM-6"
"PER-A378169B339C","victim","26-35","male","Metro corridor / BSK-3"
"PER-2D4E66E261C9","accused","18-25","undisclosed","Night economy / IND-3"
"PER-B9DF087797F1","victim","26-35","male","Commercial mixed use / KRM-6"
"PER-4A3FB0F196C1","victim","18-25","female","Tech corridor / WFD-4"
"PER-D33357278CCE","victim","26-35","female","Commercial mixed use / KRM-6"
"PER-FAB93B45CC63","victim","18-25","female","Tech corridor / WFD-4"
"PER-6556C0EEACD4","victim","65+","female","Residential market / JYN-4"
"PER-8D834FC85430","victim","18-25","male","Metro corridor / BSK-3"
"PER-A25A7E1D1B77","accused","65+","male","Transit hub / CEN-2"
"PER-13D8A1A4D765","victim","51-65","male","Tech corridor / WFD-4"
"PER-75522D5D4FA0","victim","18-25","male","Night economy / IND-3"
"PER-CF8366C67C05","victim","65+","male","Tech corridor / WFD-4"
"PER-55BA530AC7B3","victim","26-35","female","Residential market / JYN-4"
"PER-AE34CDE66A07","victim","51-65","undisclosed","Metro corridor / BSK-3"
"PER-77167744FD3E","victim","36-50","male","Commercial mixed use / KRM-6"
"PER-DD5B07781CBE","accused","26-35","female","Night economy / IND-3"
"PER-B5E04B40C1B7","victim","36-50","female","Metro corridor / BSK-3"
"PER-157A13FDE965","victim","26-35","female","Industrial IT belt / ELC-5"
"PER-E7BCFAE93043","victim","65+","female","Commercial mixed use / KRM-6"
"PER-4C51D88DFBA9","accused","36-50","female","Night economy / IND-3"
"PER-63500F3D35DA","victim","18-25","female","Industrial IT belt / ELC-5"
"PER-D930C7EE6A0F","accused","65+","male","Commercial mixed use / KRM-6"
"PER-22CAB49A673F","victim","51-65","male","Commercial mixed use / KRM-6"
"PER-B65F05277834","victim","51-65","female","Commercial mixed use / KRM-6"
"PER-03EFBFECCF17","victim","65+","female","Tech corridor / WFD-4"
"PER-500F61C2AA9E","victim","18-25","female","Metro corridor / BSK-3"
"PER-AAFC1317BD5B","accused","26-35","undisclosed","Industrial IT belt / ELC-5"
"PER-88C4D125039A","accused","26-35","undisclosed","Tech corridor / WFD-4"
"PER-9AA4F2901603","victim","51-65","female","Tech corridor / WFD-4"
"PER-ABD3AB703381","victim","65+","male","Tech corridor / WFD-4"
"PER-E4FBD9795A6D","victim","36-50","female","Commercial mixed use / KRM-6"
"PER-D6357FEBBD01","accused","18-25","female","Outer growth corridor / YLK-1"
"PER-7B242853566E","victim","18-25","male","Industrial IT belt / ELC-5"
"PER-2B3AE4DE3D28","accused","65+","male","Airport approach / HBL-2"
"PER-FEE393CADC03","victim","36-50","female","Tech corridor / WFD-4"
"PER-B901CAB3F9F7","victim","36-50","undisclosed","Tech corridor / WFD-4"
"PER-89730FF91F7E","accused","51-65","male","Tech corridor / WFD-4"
"PER-1F134C57344D","victim","65+","female","Commercial mixed use / KRM-6"
"PER-9AEA06F8D072","accused","36-50","female","Tech corridor / WFD-4"
"PER-C2968998C439","victim","26-35","male","Tech corridor / WFD-4"
"PER-5791B2842932","accused","18-25","male","Residential market / JYN-4"
"PER-285C19728FDE","victim","36-50","female","Tech corridor / WFD-4"
